transaction_id,customer_id,sku,product_name,line,date,qty,unit_price,revenue,channel,region,segment,campaign_group
T0002324,C00569,ALK-MG-03,Mobil Eisspray akut,Muscles/Joints,2023-01-17,3,9.48,28.44,pharmacy,Hamburg,diabetic_care,control
T0000026,C00007,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-18,1,7.44,7.44,pharmacy,Bayern,diabetic_care,control
T0000641,C00162,ALK-FB-01,Fuß Butter,Feet,2023-01-18,1,7.44,7.44,pharmacy,Sachsen,diabetic_care,treatment
T0002158,C00531,ALK-LG-01,5 in 1 Beinlotion,Legs,2023-01-18,2,10.39,20.78,rossmann,Sachsen,wellness_50plus,treatment
T0002325,C00569,ALK-FB-03,Hornhaut Reduziercreme,Feet,2023-01-18,2,7.12,14.24,online,Hamburg,diabetic_care,control
T0002656,C00646,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-18,1,8.76,8.76,online,Berlin,athletes_25,treatment
T0002970,C00718,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-18,1,5.7,5.7,dm,NRW,athletes_25,treatment
T0000342,C00085,ALK-FB-02,Sole Fußbad,Feet,2023-01-19,1,6.43,6.43,online,Berlin,wellness_50plus,control
T0002392,C00588,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-19,2,8.89,17.78,dm,NRW,active_women_35,control
T0002612,C00635,ALK-FB-01,Fuß Butter,Feet,2023-01-19,1,7.89,7.89,rossmann,Sachsen,diabetic_care,treatment
T0000037,C00010,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-20,1,8.98,8.98,online,Berlin,wellness_50plus,control
T0002667,C00648,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-20,1,6.01,6.01,online,NRW,athletes_25,treatment
T0000394,C00098,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-21,1,9.0,9.0,pharmacy,Hessen,traditional_55,treatment
T0000733,C00188,ALK-FB-01,Fuß Butter,Feet,2023-01-21,2,8.03,16.06,pharmacy,NRW,active_women_35,control
T0000959,C00244,ALK-MG-05,Wärmendes Intensiv Gel,Muscles/Joints,2023-01-21,1,8.63,8.63,pharmacy,Niedersachsen,traditional_55,control
T0001807,C00450,ALK-MG-05,Wärmendes Intensiv Gel,Muscles/Joints,2023-01-21,1,8.03,8.03,online,Hamburg,wellness_50plus,treatment
T0002379,C00585,ALK-FB-01,Fuß Butter,Feet,2023-01-21,1,8.03,8.03,pharmacy,Hessen,diabetic_care,control
T0003027,C00734,ALK-FB-01,Fuß Butter,Feet,2023-01-21,2,7.66,15.32,online,Baden-Württemberg,diabetic_care,control
T0000311,C00076,ALK-FB-02,Sole Fußbad,Feet,2023-01-22,3,6.61,19.83,online,Berlin,wellness_50plus,treatment
T0000528,C00132,ALK-FB-01,Fuß Butter,Feet,2023-01-22,1,7.85,7.85,online,Berlin,diabetic_care,treatment
T0000851,C00216,ALK-MG-05,Wärmendes Intensiv Gel,Muscles/Joints,2023-01-22,1,8.07,8.07,dm,Berlin,traditional_55,treatment
T0002292,C00561,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-22,1,8.76,8.76,dm,Hessen,athletes_25,treatment
T0003079,C00750,ALK-MG-03,Mobil Eisspray akut,Muscles/Joints,2023-01-22,1,9.78,9.78,online,Baden-Württemberg,athletes_25,treatment
T0000979,C00252,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-23,1,7.05,7.05,rossmann,Hessen,diabetic_care,control
T0002306,C00565,ALK-MG-05,Wärmendes Intensiv Gel,Muscles/Joints,2023-01-23,1,8.38,8.38,online,NRW,athletes_25,treatment
T0003115,C00758,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-23,1,5.61,5.61,dm,Sachsen,traditional_55,control
T0000740,C00189,ALK-FB-06,Fußpflege Deospray,Feet,2023-01-24,1,6.08,6.08,online,Berlin,athletes_25,treatment
T0001190,C00306,ALK-MG-03,Mobil Eisspray akut,Muscles/Joints,2023-01-24,1,9.42,9.42,pharmacy,Bayern,active_women_35,control
T0001634,C00408,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-24,2,5.87,11.74,dm,Hamburg,wellness_50plus,control
T0001732,C00429,ALK-FB-01,Fuß Butter,Feet,2023-01-24,2,7.73,15.46,online,NRW,wellness_50plus,treatment
T0001960,C00487,ALK-CB-01,Ur Bonbons,Cough drops,2023-01-24,2,2.42,4.84,pharmacy,Hamburg,active_women_35,treatment
T0002078,C00513,ALK-MG-05,Wärmendes Intensiv Gel,Muscles/Joints,2023-01-24,1,8.69,8.69,rossmann,Baden-Württemberg,traditional_55,control
T0002601,C00632,ALK-FB-01,Fuß Butter,Feet,2023-01-24,1,7.66,7.66,pharmacy,Niedersachsen,wellness_50plus,treatment
T0000815,C00207,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-01-25,2,6.93,13.86,pharmacy,NRW,traditional_55,control
T0001684,C00419,ALK-FB-01,Fuß Butter,Feet,2023-01-25,3,8.08,24.24,online,Niedersachsen,wellness_50plus,control
T0002074,C00512,ALK-FB-02,Sole Fußbad,Feet,2023-01-25,2,6.38,12.76,dm,Berlin,diabetic_care,treatment
T0002560,C00623,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-25,3,7.47,22.41,pharmacy,Hamburg,diabetic_care,treatment
T0003097,C00754,ALK-FB-06,Fußpflege Deospray,Feet,2023-01-25,3,5.83,17.49,online,Niedersachsen,athletes_25,control
T0000757,C00194,ALK-MG-05,Wärmendes Intensiv Gel,Muscles/Joints,2023-01-26,2,8.06,16.12,online,Bayern,traditional_55,control
T0000977,C00250,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-01-26,1,6.68,6.68,rossmann,Sachsen,athletes_25,control
T0002192,C00542,ALK-MG-05,Wärmendes Intensiv Gel,Muscles/Joints,2023-01-26,1,8.42,8.42,dm,Niedersachsen,traditional_55,treatment
T0002315,C00566,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-26,1,5.75,5.75,rossmann,Hamburg,traditional_55,control
T0002811,C00681,ALK-FB-01,Fuß Butter,Feet,2023-01-26,1,8.04,8.04,online,Sachsen,diabetic_care,treatment
T0000872,C00225,ALK-FB-03,Hornhaut Reduziercreme,Feet,2023-01-27,2,6.72,13.44,rossmann,Niedersachsen,active_women_35,control
T0001225,C00315,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-01-27,1,6.47,6.47,pharmacy,Baden-Württemberg,traditional_55,control
T0001341,C00342,ALK-LG-02,Bein Frische Gel,Legs,2023-01-27,1,8.07,8.07,online,Sachsen,young_active_women,treatment
T0003026,C00734,ALK-CB-01,Ur Bonbons,Cough drops,2023-01-27,2,2.57,5.14,pharmacy,Baden-Württemberg,diabetic_care,control
T0003158,C00766,ALK-FB-02,Sole Fußbad,Feet,2023-01-27,1,6.46,6.46,online,Baden-Württemberg,wellness_50plus,treatment
T0003239,C00789,ALK-CB-01,Ur Bonbons,Cough drops,2023-01-27,2,2.41,4.82,online,NRW,traditional_55,control
T0000199,C00046,ALK-LG-01,5 in 1 Beinlotion,Legs,2023-01-28,2,9.7,19.4,pharmacy,Hessen,active_women_35,treatment
T0000345,C00085,ALK-FB-01,Fuß Butter,Feet,2023-01-28,1,7.93,7.93,pharmacy,Berlin,wellness_50plus,control
T0000652,C00167,ALK-LG-01,5 in 1 Beinlotion,Legs,2023-01-28,3,10.24,30.72,pharmacy,Niedersachsen,diabetic_care,treatment
T0001162,C00298,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-28,1,9.19,9.19,online,Hamburg,wellness_50plus,treatment
T0002129,C00524,ALK-MG-05,Wärmendes Intensiv Gel,Muscles/Joints,2023-01-28,1,8.13,8.13,online,NRW,diabetic_care,control
T0002284,C00560,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-28,1,5.88,5.88,online,Bayern,athletes_25,treatment
T0002650,C00646,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-28,1,5.93,5.93,online,Berlin,athletes_25,treatment
T0001511,C00379,ALK-FB-01,Fuß Butter,Feet,2023-01-29,1,7.69,7.69,rossmann,Hamburg,diabetic_care,control
T0001760,C00435,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-29,1,5.77,5.77,pharmacy,Hessen,athletes_25,control
T0002238,C00552,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-29,1,8.65,8.65,online,Niedersachsen,wellness_50plus,treatment
T0002314,C00566,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-01-29,1,6.73,6.73,pharmacy,Hamburg,traditional_55,control
T0003032,C00736,ALK-LG-02,Bein Frische Gel,Legs,2023-01-29,1,8.11,8.11,pharmacy,Baden-Württemberg,traditional_55,control
T0003253,C00792,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-29,1,8.46,8.46,dm,Hessen,athletes_25,control
T0003272,C00795,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-29,1,5.86,5.86,online,NRW,athletes_25,treatment
T0000175,C00041,ALK-LG-01,5 in 1 Beinlotion,Legs,2023-01-30,1,9.63,9.63,pharmacy,NRW,active_women_35,control
T0000862,C00222,ALK-FB-06,Fußpflege Deospray,Feet,2023-01-30,2,5.88,11.76,pharmacy,Hamburg,traditional_55,control
T0002718,C00659,ALK-FB-03,Hornhaut Reduziercreme,Feet,2023-01-30,1,7.03,7.03,rossmann,NRW,young_active_women,control
T0002932,C00710,ALK-FB-06,Fußpflege Deospray,Feet,2023-01-30,2,5.85,11.7,rossmann,Baden-Württemberg,young_active_women,treatment
T0000137,C00030,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-31,1,6.99,6.99,pharmacy,Bayern,diabetic_care,treatment
T0000473,C00118,ALK-FB-01,Fuß Butter,Feet,2023-01-31,1,7.53,7.53,online,NRW,diabetic_care,treatment
T0000861,C00222,ALK-MG-05,Wärmendes Intensiv Gel,Muscles/Joints,2023-01-31,2,8.4,16.8,pharmacy,Hamburg,traditional_55,control
T0001386,C00352,ALK-FB-01,Fuß Butter,Feet,2023-01-31,3,7.72,23.16,online,Bayern,wellness_50plus,treatment
T0001824,C00454,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-31,1,7.44,7.44,pharmacy,Berlin,diabetic_care,treatment
T0002704,C00656,ALK-FB-04,Hornhaut Entferner Maske,Feet,2023-01-31,2,8.45,16.9,pharmacy,Sachsen,traditional_55,control
T0002949,C00712,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-31,1,7.04,7.04,pharmacy,Baden-Württemberg,athletes_25,control
T0001021,C00263,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-02-01,1,8.68,8.68,dm,Baden-Württemberg,athletes_25,control
T0001041,C00269,ALK-FB-02,Sole Fußbad,Feet,2023-02-01,2,6.19,12.38,online,Bayern,wellness_50plus,control
T0002062,C00510,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-02-01,1,5.77,5.77,online,Sachsen,athletes_25,treatment
T0002398,C00590,ALK-FB-02,Sole Fußbad,Feet,2023-02-01,1,6.41,6.41,pharmacy,Bayern,wellness_50plus,treatment
T0000526,C00131,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-02-02,3,5.61,16.83,rossmann,Berlin,traditional_55,control
T0000847,C00216,ALK-MG-05,Wärmendes Intensiv Gel,Muscles/Joints,2023-02-02,1,8.36,8.36,dm,Berlin,traditional_55,treatment
T0001320,C00336,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-02-02,1,5.73,5.73,online,NRW,athletes_25,control
T0002538,C00620,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-02-02,2,7.03,14.06,online,Sachsen,wellness_50plus,treatment
T0002096,C00516,ALK-FB-02,Sole Fußbad,Feet,2023-02-03,1,6.36,6.36,online,NRW,young_active_women,control
T0001425,C00361,ALK-FB-01,Fuß Butter,Feet,2023-02-04,1,7.81,7.81,pharmacy,Hamburg,diabetic_care,control
T0002567,C00625,ALK-MG-05,Wärmendes Intensiv Gel,Muscles/Joints,2023-02-04,1,8.08,8.08,online,Hamburg,traditional_55,treatment
T0000868,C00224,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-02-05,1,6.54,6.54,pharmacy,Bayern,young_active_women,control
T0001493,C00374,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-02-05,2,5.84,11.68,pharmacy,Hamburg,traditional_55,control
T0001657,C00412,ALK-FB-01,Fuß Butter,Feet,2023-02-05,3,7.72,23.16,online,Niedersachsen,wellness_50plus,control
T0001247,C00320,ALK-FB-06,Fußpflege Deospray,Feet,2023-02-06,1,6.13,6.13,rossmann,Hessen,young_active_women,treatment
T0001553,C00389,ALK-CB-01,Ur Bonbons,Cough drops,2023-02-06,1,2.61,2.61,pharmacy,Berlin,diabetic_care,treatment
T0002714,C00658,ALK-FB-02,Sole Fußbad,Feet,2023-02-06,2,6.27,12.54,online,Hessen,wellness_50plus,treatment
T0002928,C00709,ALK-FB-03,Hornhaut Reduziercreme,Feet,2023-02-06,1,6.99,6.99,dm,Bayern,traditional_55,treatment
T0003113,C00758,ALK-CB-01,Ur Bonbons,Cough drops,2023-02-06,1,2.5,2.5,online,Sachsen,traditional_55,control
T0000038,C00010,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-02-07,1,7.01,7.01,pharmacy,Berlin,wellness_50plus,control
T0001625,C00406,ALK-MG-05,Wärmendes Intensiv Gel,Muscles/Joints,2023-02-07,1,8.08,8.08,pharmacy,Sachsen,traditional_55,control
T0001972,C00489,ALK-FB-01,Fuß Butter,Feet,2023-02-07,1,7.44,7.44,pharmacy,Baden-Württemberg,traditional_55,treatment
T0002265,C00556,ALK-FB-01,Fuß Butter,Feet,2023-02-07,1,7.69,7.69,online,Sachsen,traditional_55,control
T0002852,C00691,ALK-FB-06,Fußpflege Deospray,Feet,2023-02-07,2,6.29,12.58,pharmacy,Hamburg,diabetic_care,control
T0000576,C00145,ALK-FB-05,10% Urea Fußcreme,Feet,2023-02-08,1,7.58,7.58,pharmacy,Sachsen,diabetic_care,control
T0001619,C00405,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-02-08,1,8.61,8.61,online,Berlin,athletes_25,treatment
T0002294,C00562,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-02-08,1,7.05,7.05,pharmacy,Berlin,wellness_50plus,treatment
T0002657,C00646,ALK-FB-06,Fußpflege Deospray,Feet,2023-02-08,3,6.21,18.63,dm,Berlin,athletes_25,treatment
T0002790,C00678,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-02-08,1,5.96,5.96,dm,Hessen,athletes_25,control
T0000464,C00116,ALK-FB-02,Sole Fußbad,Feet,2023-02-09,1,6.45,6.45,online,Hamburg,athletes_25,control
T0000588,C00148,ALK-FB-04,Hornhaut Entferner Maske,Feet,2023-02-09,1,8.9,8.9,pharmacy,Hamburg,active_women_35,treatment
T0001098,C00283,ALK-FB-02,Sole Fußbad,Feet,2023-02-09,2,6.29,12.58,online,Hamburg,young_active_women,treatment
T0001113,C00288,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-02-09,1,8.93,8.93,pharmacy,Hessen,diabetic_care,treatment
T0002282,C00560,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-02-09,1,9.02,9.02,online,Bayern,athletes_25,treatment
T0001052,C00272,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-02-10,3,5.96,17.88,pharmacy,Hessen,active_women_35,treatment
T0001195,C00307,ALK-MG-05,Wärmendes Intensiv Gel,Muscles/Joints,2023-02-10,1,8.51,8.51,pharmacy,Hessen,active_women_35,treatment
T0001688,C00419,ALK-FB-02,Sole Fußbad,Feet,2023-02-10,1,6.34,6.34,rossmann,Niedersachsen,wellness_50plus,control
T0001922,C00478,ALK-FB-01,Fuß Butter,Feet,2023-02-10,3,7.81,23.43,pharmacy,NRW,diabetic_care,control
T0002186,C00540,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-02-10,1,5.69,5.69,pharmacy,NRW,athletes_25,control
T0000040,C00011,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-02-11,1,6.86,6.86,pharmacy,Sachsen,wellness_50plus,control
T0001114,C00288,ALK-FB-01,Fuß Butter,Feet,2023-02-11,1,7.38,7.38,pharmacy,Hessen,diabetic_care,treatment
